transaction_id,user_id,amount,risk_score,model_decision,human_decision,is_fp_correction,timestamp
TXN0000051,U0456,2727.21,0.5971,REVIEW,ALLOW,1,2026-04-29 02:24:27
TXN0000051,U0456,2727.21,0.5971,REVIEW,ALLOW,1,2026-04-29 03:10:02
TXN0000051,U0456,2727.21,0.5971,REVIEW,BLOCK,0,2026-04-29 09:39:42
TXN0000051,U0456,2727.21,0.5971,REVIEW,BLOCK,0,2026-04-29 12:41:02
TXN0000051,U0456,2727.21,0.5971,REVIEW,BLOCK,0,2026-05-11 11:34:54
TXN0000051,U0456,2727.21,0.5971,REVIEW,BLOCK,0,2026-05-11 12:57:23
TXN0000051,U0456,2727.21,0.5971,REVIEW,ALLOW,1,2026-05-11 13:25:19
TXN0000053,U0090,1800.76,0.4775,REVIEW,BLOCK,0,2026-04-29 02:24:24
TXN0000053,U0090,1800.76,0.4775,REVIEW,ALLOW,1,2026-04-29 03:10:03
TXN0000053,U0090,1800.76,0.4775,REVIEW,BLOCK,0,2026-04-29 09:44:47
TXN0000053,U0090,1800.76,0.4775,REVIEW,BLOCK,0,2026-04-29 12:41:02
TXN0000053,U0090,1800.76,0.4775,REVIEW,ALLOW,1,2026-05-11 11:34:46
TXN0000053,U0090,1800.76,0.4775,REVIEW,ALLOW,1,2026-05-11 12:57:24
TXN0000053,U0090,1800.76,0.4775,REVIEW,BLOCK,0,2026-05-11 13:25:21
TXN0000054,U0417,56950.57,0.6792,REVIEW,BLOCK,0,2026-04-29 02:25:05
TXN0000054,U0417,56950.57,0.6792,REVIEW,ALLOW,1,2026-04-29 03:10:03
TXN0000054,U0417,56950.57,0.6792,REVIEW,BLOCK,0,2026-04-29 09:39:44
TXN0000054,U0417,56950.57,0.6792,REVIEW,BLOCK,0,2026-04-29 12:41:02
TXN0000054,U0417,56950.57,0.6792,REVIEW,SKIP,0,2026-05-11 12:57:25
TXN0000054,U0417,56950.57,0.6792,REVIEW,ALLOW,1,2026-05-11 13:25:31
TXN0000056,U0340,44227.32,0.7621,BLOCK,ALLOW,1,2026-04-29 03:10:03
TXN0000056,U0340,44227.32,0.7621,BLOCK,ALLOW,1,2026-04-29 09:44:51
TXN0000056,U0340,44227.32,0.7621,BLOCK,BLOCK,0,2026-04-29 12:41:02
TXN0000056,U0340,44227.32,0.7621,BLOCK,ALLOW,1,2026-05-11 11:33:48
TXN0000056,U0340,44227.32,0.7621,BLOCK,BLOCK,0,2026-05-11 12:57:26
TXN0000056,U0340,44227.32,0.7621,BLOCK,BLOCK,0,2026-05-11 13:25:25
TXN0000070,U0008,680.41,0.7123,BLOCK,ALLOW,1,2026-04-29 02:24:28
TXN0000070,U0008,680.41,0.7123,BLOCK,ALLOW,1,2026-04-29 03:10:05
TXN0000070,U0008,680.41,0.7123,BLOCK,ALLOW,1,2026-04-29 09:39:46
TXN0000070,U0008,680.41,0.7123,BLOCK,ALLOW,1,2026-04-29 12:41:03
TXN0000070,U0008,680.41,0.7123,BLOCK,ALLOW,1,2026-05-11 11:37:01
TXN0000070,U0008,680.41,0.7123,BLOCK,ALLOW,1,2026-05-11 12:57:28
TXN0000076,U0211,1365.34,0.7433,BLOCK,ALLOW,1,2026-04-29 02:24:51
TXN0000076,U0211,1365.34,0.7433,BLOCK,ALLOW,1,2026-04-29 03:10:05
TXN0000076,U0211,1365.34,0.7433,BLOCK,ALLOW,1,2026-04-29 09:44:51
TXN0000076,U0211,1365.34,0.7433,BLOCK,ALLOW,1,2026-04-29 12:41:04
TXN0000076,U0211,1365.34,0.7433,BLOCK,BLOCK,0,2026-05-11 12:57:28
TXN0000083,U0463,48847.42,0.8152,BLOCK,ALLOW,1,2026-04-29 02:24:30
TXN0000083,U0463,48847.42,0.8152,BLOCK,ALLOW,1,2026-04-29 03:10:05
TXN0000083,U0463,48847.42,0.8152,BLOCK,ALLOW,1,2026-04-29 09:39:50
TXN0000083,U0463,48847.42,0.8152,BLOCK,ALLOW,1,2026-04-29 12:41:04
TXN0000083,U0463,48847.42,0.8152,BLOCK,ALLOW,1,2026-05-11 11:33:51
TXN0000083,U0463,48847.42,0.8152,BLOCK,ALLOW,1,2026-05-11 12:57:30
TXN0000090,U0345,43325.45,0.7894,BLOCK,ALLOW,1,2026-04-29 02:24:49
TXN0000090,U0345,43325.45,0.7894,BLOCK,ALLOW,1,2026-04-29 03:10:05
TXN0000090,U0345,43325.45,0.7894,BLOCK,ALLOW,1,2026-04-29 09:44:52
TXN0000090,U0345,43325.45,0.7894,BLOCK,ALLOW,1,2026-04-29 12:41:04
TXN0000090,U0345,43325.45,0.7894,BLOCK,ALLOW,1,2026-04-29 12:41:05
TXN0000090,U0345,43325.45,0.7894,BLOCK,ALLOW,1,2026-05-11 11:36:52
TXN0000090,U0345,43325.45,0.7894,BLOCK,ALLOW,1,2026-05-11 12:57:33
TXN0000105,U0252,50752.0,0.8101,BLOCK,BLOCK,0,2026-04-29 02:24:57
TXN0000105,U0252,50752.0,0.8101,BLOCK,ALLOW,1,2026-04-29 03:10:06
TXN0000105,U0252,50752.0,0.8101,BLOCK,ALLOW,1,2026-04-29 09:44:52
TXN0000105,U0252,50752.0,0.8101,BLOCK,ALLOW,1,2026-04-29 12:41:05
TXN0000105,U0252,50752.0,0.8101,BLOCK,BLOCK,0,2026-05-11 12:57:33
TXN0000107,U0310,5871.74,0.7602,BLOCK,ALLOW,1,2026-04-29 02:24:55
TXN0000107,U0310,5871.74,0.7602,BLOCK,ALLOW,1,2026-04-29 03:10:06
TXN0000107,U0310,5871.74,0.7602,BLOCK,ALLOW,1,2026-04-29 09:44:53
TXN0000107,U0310,5871.74,0.7602,BLOCK,ALLOW,1,2026-04-29 12:41:06
TXN0000107,U0310,5871.74,0.7602,BLOCK,ALLOW,1,2026-05-11 12:57:34
TXN0000113,U0148,5453.01,0.6717,REVIEW,ALLOW,1,2026-04-29 02:24:53
TXN0000113,U0148,5453.01,0.6717,REVIEW,ALLOW,1,2026-04-29 03:10:06
TXN0000113,U0148,5453.01,0.6717,REVIEW,BLOCK,0,2026-04-29 09:44:56
TXN0000113,U0148,5453.01,0.6717,REVIEW,BLOCK,0,2026-04-29 12:41:07
TXN0000113,U0148,5453.01,0.6717,REVIEW,BLOCK,0,2026-04-29 12:41:08
TXN0000113,U0148,5453.01,0.6717,REVIEW,ALLOW,1,2026-05-11 12:57:47
TXN0000115,U0433,4576.92,0.4894,REVIEW,BLOCK,0,2026-04-29 02:25:07
TXN0000115,U0433,4576.92,0.4894,REVIEW,BLOCK,0,2026-04-29 09:44:56
TXN0000115,U0433,4576.92,0.4894,REVIEW,BLOCK,0,2026-04-29 12:41:08
TXN0000115,U0433,4576.92,0.4894,REVIEW,BLOCK,0,2026-05-11 11:34:56
TXN0000115,U0433,4576.92,0.4894,REVIEW,BLOCK,0,2026-05-11 12:57:47
TXN0000116,U0391,1028.04,0.7417,BLOCK,ALLOW,1,2026-04-29 09:44:58
TXN0000116,U0391,1028.04,0.7417,BLOCK,ALLOW,1,2026-04-29 12:41:09
TXN0000155,U0198,54307.34,0.7657,BLOCK,ALLOW,1,2026-04-29 02:25:03
TXN0000155,U0198,54307.34,0.7657,BLOCK,ALLOW,1,2026-04-29 09:45:00
TXN0000155,U0198,54307.34,0.7657,BLOCK,ALLOW,1,2026-04-29 12:41:09
TXN0000155,U0198,54307.34,0.7657,BLOCK,ALLOW,1,2026-04-29 12:41:10
TXN0000155,U0198,54307.34,0.7657,BLOCK,ALLOW,1,2026-04-29 12:41:11
TXN0000164,U0377,35428.05,0.7733,BLOCK,ALLOW,1,2026-04-29 09:45:01
TXN0000164,U0377,35428.05,0.7733,BLOCK,ALLOW,1,2026-04-29 12:41:12
TXN0000178,U0486,3440.16,0.4047,REVIEW,ALLOW,1,2026-04-29 02:25:09
TXN0000178,U0486,3440.16,0.4047,REVIEW,ALLOW,1,2026-04-29 09:45:02
TXN0000178,U0486,3440.16,0.4047,REVIEW,ALLOW,1,2026-04-29 12:47:51
TXN0000180,U0096,49911.25,0.608,REVIEW,ALLOW,1,2026-04-29 02:25:12
TXN0000180,U0096,49911.25,0.608,REVIEW,BLOCK,0,2026-04-29 09:45:03
TXN0000180,U0096,49911.25,0.608,REVIEW,BLOCK,0,2026-04-29 09:45:04
TXN0000192,U0258,2828.23,0.4788,REVIEW,ALLOW,1,2026-04-29 02:25:15
TXN0000192,U0258,2828.23,0.4788,REVIEW,BLOCK,0,2026-04-29 09:45:04
TXN0000221,U0490,46367.99,0.7325,BLOCK,ALLOW,1,2026-04-29 02:25:45
TXN0000221,U0490,46367.99,0.7325,BLOCK,BLOCK,0,2026-04-29 09:45:04
TXN0000221,U0490,46367.99,0.7325,BLOCK,BLOCK,0,2026-04-29 09:45:05
TXN0000222,U0424,65055.88,0.8065,BLOCK,ALLOW,1,2026-04-29 02:25:41
TXN0000222,U0424,65055.88,0.8065,BLOCK,BLOCK,0,2026-04-29 09:45:05
TXN0000222,U0424,65055.88,0.8065,BLOCK,BLOCK,0,2026-04-29 12:47:53
TXN0000226,U0148,576.03,0.4186,REVIEW,ALLOW,1,2026-04-29 09:45:06
TXN0000241,U0227,3410.72,0.6721,REVIEW,BLOCK,0,2026-04-29 02:25:48
TXN0000241,U0227,3410.72,0.6721,REVIEW,ALLOW,1,2026-04-29 09:45:07
TXN0000245,U0278,2973.48,0.6155,REVIEW,ALLOW,1,2026-04-29 09:45:07
TXN0000245,U0278,2973.48,0.6155,REVIEW,ALLOW,1,2026-04-29 09:45:08
TXN0000249,U0238,856.92,0.6368,REVIEW,ALLOW,1,2026-04-29 09:45:08
TXN0000261,U0301,3115.62,0.6734,REVIEW,ALLOW,1,2026-04-29 09:45:09
TXN0000270,U0278,7426.77,0.68,REVIEW,ALLOW,1,2026-04-29 09:45:10
TXN0000271,U0432,6891.97,0.7301,BLOCK,BLOCK,0,2026-04-29 09:45:12
TXN0000279,U0170,7316.27,0.5385,REVIEW,ALLOW,1,2026-04-29 09:45:13
TXN0000290,U0306,60755.69,0.7449,BLOCK,ALLOW,1,2026-04-29 09:45:14
TXN0000292,U0138,1794.89,0.7253,BLOCK,ALLOW,1,2026-04-29 09:45:15
TXN0000305,U0348,4207.37,0.6279,REVIEW,ALLOW,1,2026-04-29 09:45:16
TXN0000308,U0232,1447.8,0.8069,BLOCK,ALLOW,1,2026-04-29 09:39:53
TXN0000329,U0142,66832.99,0.7281,BLOCK,BLOCK,0,2026-04-29 09:52:24
TXN0000336,U0437,6354.45,0.3188,REVIEW,BLOCK,0,2026-04-29 09:52:25
TXN0000342,U0304,38934.08,0.8168,BLOCK,BLOCK,0,2026-04-29 09:52:26
TXN0000353,U0035,44321.08,0.8072,BLOCK,ALLOW,1,2026-04-29 09:52:28
TXN0000358,U0314,2885.47,0.309,REVIEW,SKIP,0,2026-04-29 09:52:30
TXN0000364,U0242,4352.7,0.6999,REVIEW,SKIP,0,2026-04-29 09:52:30
TXN0000376,U0202,5846.43,0.7107,BLOCK,SKIP,0,2026-04-29 09:52:31
TXN0000378,U0039,2788.21,0.7259,BLOCK,BLOCK,0,2026-04-29 09:57:53
TXN0000398,U0468,6963.27,0.7982,BLOCK,BLOCK,0,2026-04-29 09:57:55
TXN0000404,U0155,46947.77,0.7042,BLOCK,BLOCK,0,2026-04-29 09:58:05
TXN0000409,U0040,32336.16,0.7577,BLOCK,BLOCK,0,2026-04-29 09:58:05
TXN0000411,U0180,2215.11,0.4213,REVIEW,ALLOW,1,2026-04-29 09:58:07
TXN0000419,U0151,6023.71,0.6159,REVIEW,ALLOW,1,2026-04-29 09:58:08
TXN0000431,U0401,5125.12,0.625,REVIEW,ALLOW,1,2026-04-29 09:58:09
TXN0000001,U0488,5919.47,0.6445,REVIEW,ALLOW,1,2026-05-11 13:32:29
TXN0000011,U0119,5379.97,0.4748,REVIEW,ALLOW,1,2026-05-11 13:32:31
TXN0000113,U0148,5453.01,0.6074,REVIEW,BLOCK,0,2026-05-11 13:32:34
TXN0000107,U0310,5871.74,0.6037,REVIEW,ALLOW,1,2026-05-11 13:32:36
TXN0000115,U0433,4576.92,0.6975,REVIEW,BLOCK,0,2026-05-11 13:32:38
TXN0000037,U0142,31154.43,0.5835,REVIEW,ALLOW,1,2026-05-11 13:32:40
TXN0000001,U0488,5919.47,0.6153,REVIEW,ALLOW,1,2026-05-11 13:49:36
TXN0000011,U0119,5379.97,0.468,REVIEW,ALLOW,1,2026-05-11 13:49:37
TXN0000037,U0142,31154.43,0.5329,REVIEW,BLOCK,0,2026-05-11 13:49:38
TXN0000051,U0456,2727.21,0.5968,REVIEW,ALLOW,1,2026-05-11 13:49:38
TXN0000053,U0090,1800.76,0.6873,REVIEW,BLOCK,0,2026-05-11 13:49:39
TXN0000054,U0417,56950.57,0.6651,REVIEW,BLOCK,0,2026-05-11 13:49:40
TXN0000056,U0340,44227.32,0.8108,BLOCK,BLOCK,0,2026-05-11 13:49:40
TXN0000070,U0008,680.41,0.3966,REVIEW,ALLOW,1,2026-05-11 13:49:40
TXN0000076,U0211,1365.34,0.7074,BLOCK,BLOCK,0,2026-05-11 13:49:41
TXN0000083,U0463,48847.42,0.7825,BLOCK,ALLOW,1,2026-05-11 13:49:42
